S,T,pH,CO2,pCO2,HCO3,CO3,DIC,ALK,OmegaAragonite,OmegaCalcite,tank,,,,,,,,,,,,,,,,
33.54,22.043,7.937582845,1.25E-05,407.39032,0.001438586,0.000116775,0.001567906,0.001741901,1.845424094,2.831465823,3,,,,,,,,,,,,,,,,
33.46,17.978,7.334303365,6.32E-05,1833.533866,0.001655904,2.87E-05,0.001747837,0.001730741,0.44699596,0.693192802,4,,,,,,,,,,,,,,,,
33.44,17.902,7.75012196,2.25E-05,649.7608543,0.001529352,6.89E-05,0.001620659,0.001709654,1.071689288,1.662327785,5,,,,,,,,,,,,,,,,
33.48,17.75,7.910209667,1.50E-05,431.0252609,0.001468375,9.51E-05,0.001578445,0.001717465,1.479414081,2.295411143,6,,,,,,,,,,,,,,,,
33.51,17.556,7.548880138,3.75E-05,1074.55014,0.001595249,4.47E-05,0.001677412,0.001712194,0.694259678,1.07762398,7,,,,,,,,,,,,,,,,
33.48,17.923,7.599389425,3.27E-05,945.7207653,0.001573195,5.01E-05,0.001655995,0.00170454,0.780395812,1.210334021,8,,,,,,,,,,,,,,,,
33.49,17.839,7.236024052,7.96E-05,2299.55368,0.001657866,2.28E-05,0.00176028,0.001717438,0.355052936,0.550759917,9,,,,,,,,,,,,,,,,
33.5,18.044,7.849850199,1.76E-05,511.8956135,0.001514772,8.64E-05,0.001618769,0.001740143,1.344844266,2.085056229,10,,,,,,,,,,,,,,,,
33.62,21.847,7.533734268,3.54E-05,1143.729336,0.001596041,5.08E-05,0.001682278,0.001728051,0.80253269,1.231800168,11,,,,,,,,,,,,,,,,
33.53,21.923,7.430954593,4.56E-05,1475.297891,0.001623608,4.09E-05,0.00171004,0.001729535,0.645321758,0.990475532,12,,,,,,,,,,,,,,,,
33.46,18.059,7.996880156,1.17E-05,340.9001265,0.001414889,0.000113155,0.001539771,0.001711486,1.762053715,2.732024392,13,,,,,,,,,,,,,,,,
33.55,21.845,7.140804093,9.54E-05,3080.523709,0.001739051,2.24E-05,0.00185679,0.001796469,0.353356137,0.542444096,14,,,,,,,,,,,,,,,,
33.54,21.99,7.765399351,1.94E-05,629.6922027,0.001496276,8.15E-05,0.001597236,0.001708744,1.288354089,1.977032171,15,,,,,,,,,,,,,,,,
33.45,21.92,7.888707373,1.44E-05,464.2537398,0.00146554,0.00010559,0.001585479,0.001739676,1.668619771,2.561538394,17,,,,,,,,,,,,,,,,
33.5,21.936,7.311354604,6.15E-05,1990.909448,0.001663305,3.18E-05,0.001756571,0.001745434,0.501953204,0.770446075,18,,,,,,,,,,,,,,,,
33.48,21.816,8.07035576,8.72E-06,281.3024795,0.001350173,0.000147329,0.00150622,0.001733833,2.326834082,3.572772432,19,,,,,,,,,,,,,,,,
