TrisCalDate,tank,date,researcher,start_time,end_time,mV,TempInSitu,Salinity_lab,expected_pH,expected_temp
20240718,12,20240718,TD,17:45,18:20,-27.8,22.207,30,7.4,22
20240718,13,20240718,TD,17:45,18:20,-62.5,18.743,30,8,18
20240718,14,20240718,TD,17:45,18:20,-15.5,22.108,30,7.2,22
20240718,15,20240718,TD,17:45,18:20,-46.4,22.315,30,7.7,22
20240718,17,20240718,TD,17:45,18:20,-53.3,22.163,30,7.9,22
20240718,18,20240718,TD,17:45,18:20,-22.4,22.098,30,7.3,22
20240718,19,20240718,TD,17:45,18:20,-62.3,21.988,30,8,22
20240718,1,20240719,TD,17:30,18:25,-37.7,22.135,30,7.6,22
20240718,2,20240719,TD,17:30,18:25,-21.4,17.684,30,7.4,18
20240718,3,20240719,TD,17:30,18:25,-46,22.243,30,7.8,22
20240718,4,20240719,TD,17:30,18:25,-18.7,18.265,30,7.3,18
20240718,5,20240719,TD,17:30,18:25,-42.8,18.083,30,7.7,18
20240718,6,20240719,TD,17:30,18:25,-54.5,18.016,30,7.9,18
20240718,7,20240719,TD,17:30,18:25,-32.5,17.921,30,7.5,18
20240718,8,20240719,TD,17:30,18:25,-33.8,18.208,30,7.6,18
20240718,9,20240719,TD,17:30,18:25,-11.3,17.954,30,7.2,18
20240718,10,20240719,TD,17:30,18:25,-48.5,18.33,30,7.8,18
20240718,11,20240719,TD,17:30,18:25,-30.1,22.031,30,7.5,22
20240718,12,20240719,TD,17:30,18:25,-28.5,22.314,30,7.4,22
20240718,13,20240719,TD,17:30,18:25,-59,18.718,30,8,18
20240718,14,20240719,TD,17:30,18:25,-11.5,22.329,30,7.2,22
20240718,15,20240719,TD,17:30,18:25,-43.3,22.169,30,7.7,22
20240718,17,20240719,TD,17:30,18:25,-53.2,22.351,30,7.9,22
20240718,18,20240719,TD,17:30,18:25,-21,22.127,30,7.3,22
20240718,19,20240719,TD,17:30,18:25,-62,21.93,30,8,22
20240718,1,20240720,TD,15:00,15:30,-36.7,22.01,30,7.6,22
20240718,2,20240720,TD,15:00,15:30,-23.7,17.7,30,7.4,18
20240718,3,20240720,TD,15:00,15:30,-48.2,22.222,30,7.8,22
20240718,4,20240720,TD,15:00,15:30,-20.3,18.36,30,7.3,18
