tank,pH,temp
1,7.6,22
2,7.4,18
3,7.8,22
4,7.3,18
5,7.7,18
6,7.9,18
7,7.5,18
8,7.6,18
9,7.2,18
10,7.8,18
11,7.5,22
12,7.4,22
13,8,18
14,7.2,22
15,7.7,22
17,7.9,22
18,7.3,22
19,8,22
