ID,tank,cage,rep,,end_date,start_date,time
85,15,ctrl,1,15ctrl1,7/7/2024,7/7/2024,
86,15,ctrl,2,15ctrl2,7/7/2024,7/7/2024,
87,15,ctrl,3,15ctrl3,7/7/2024,7/7/2024,
88,15,ctrl,4,15ctrl4,7/7/2024,7/7/2024,
89,15,ctrl,5,15ctrl5,7/7/2024,7/7/2024,
90,15,ctrl,6,15ctrl6,7/7/2024,7/7/2024,
91,17,ctrl,1,17ctrl1,7/7/2024,7/7/2024,
92,17,ctrl,2,17ctrl2,7/7/2024,7/7/2024,
93,17,ctrl,3,17ctrl3,7/7/2024,7/7/2024,
94,17,ctrl,4,17ctrl4,7/7/2024,7/7/2024,
95,17,ctrl,5,17ctrl5,7/7/2024,7/7/2024,
96,17,ctrl,6,17ctrl6,7/7/2024,7/7/2024,
97,18,ctrl,1,18ctrl1,7/7/2024,7/7/2024,
98,18,ctrl,2,18ctrl2,7/7/2024,7/7/2024,
99,18,ctrl,3,18ctrl3,7/7/2024,7/7/2024,
100,18,ctrl,4,18ctrl4,7/7/2024,7/7/2024,
101,18,ctrl,5,18ctrl5,7/7/2024,7/7/2024,
102,18,ctrl,6,18ctrl6,7/7/2024,7/7/2024,
103,19,ctrl,1,19ctrl1,7/7/2024,7/7/2024,
104,19,ctrl,2,19ctrl2,7/7/2024,7/7/2024,
105,19,ctrl,3,19ctrl3,7/7/2024,7/7/2024,
106,19,ctrl,4,19ctrl4,7/7/2024,7/7/2024,
107,19,ctrl,5,19ctrl5,7/7/2024,7/7/2024,
108,19,ctrl,6,19ctrl6,7/7/2024,7/7/2024,
109,9,1,1,911,7/7/2024,7/7/2024,
110,9,1,2,912,7/7/2024,7/7/2024,
111,9,1,3,913,7/7/2024,7/7/2024,
112,9,1,4,914,7/7/2024,7/7/2024,
113,9,1,5,915,7/7/2024,7/7/2024,
114,9,1,6,916,7/7/2024,7/7/2024,
115,9,2,1,921,7/7/2024,7/7/2024,
116,9,2,2,922,7/7/2024,7/7/2024,
117,9,2,3,923,7/7/2024,7/7/2024,
118,9,2,4,924,7/7/2024,7/7/2024,
119,9,2,5,925,7/7/2024,7/7/2024,
120,9,2,6,926,7/7/2024,7/7/2024,
121,9,3,1,931,7/7/2024,7/7/2024,
122,9,3,2,932,7/7/2024,7/7/2024,
123,9,3,3,933,7/7/2024,7/7/2024,
124,9,3,4,934,7/7/2024,7/7/2024,
125,9,3,5,935,7/7/2024,7/7/2024,
126,9,3,6,936,7/7/2024,7/7/2024,
127,9,4,1,941,7/7/2024,7/7/2024,
128,9,4,2,942,7/7/2024,7/7/2024,
129,9,4,3,943,7/7/2024,7/7/2024,
130,9,4,4,944,7/7/2024,7/7/2024,
131,9,4,5,945,7/7/2024,7/7/2024,
132,9,4,6,946,7/7/2024,7/7/2024,
133,9,5,1,951,7/7/2024,7/7/2024,
134,9,5,2,952,7/7/2024,7/7/2024,
135,9,5,3,953,7/7/2024,7/7/2024,
136,9,5,4,954,7/7/2024,7/7/2024,
137,9,5,5,955,7/7/2024,7/7/2024,
138,9,5,6,956,7/7/2024,7/7/2024,
139,3,1,1,311,7/7/2024,7/7/2024,
140,3,1,2,312,7/7/2024,7/7/2024,
141,3,1,3,313,7/7/2024,7/7/2024,
142,3,1,4,314,7/7/2024,7/7/2024,
143,3,1,5,315,7/7/2024,7/7/2024,
144,3,1,6,316,7/7/2024,7/7/2024,
145,3,2,1,321,7/7/2024,7/7/2024,
146,3,2,2,322,7/7/2024,7/7/2024,
147,3,2,3,323,7/7/2024,7/7/2024,
148,3,2,4,324,7/7/2024,7/7/2024,
149,3,2,5,325,7/7/2024,7/7/2024,
150,3,2,6,326,7/7/2024,7/7/2024,
151,3,3,1,331,7/7/2024,7/7/2024,
152,3,3,2,332,7/7/2024,7/7/2024,
153,3,3,3,333,7/7/2024,7/7/2024,
154,3,3,4,334,7/7/2024,7/7/2024,
155,3,3,5,335,7/7/2024,7/7/2024,
156,3,3,6,336,7/7/2024,7/7/2024,
157,3,4,1,341,7/7/2024,7/7/2024,
158,3,4,2,342,7/7/2024,7/7/2024,
159,3,4,3,343,7/7/2024,7/7/2024,
160,3,4,4,344,7/7/2024,7/7/2024,
161,3,4,5,345,7/7/2024,7/7/2024,
162,3,4,6,346,7/7/2024,7/7/2024,
163,3,5,1,351,7/7/2024,7/7/2024,
164,3,5,2,352,7/7/2024,7/7/2024,
165,3,5,3,353,7/7/2024,7/7/2024,
166,3,5,4,354,7/7/2024,7/7/2024,
167,3,5,5,355,7/7/2024,7/7/2024,
168,3,5,6,356,7/7/2024,7/7/2024,
169,4,1,1,411,7/7/2024,7/7/2024,
170,4,1,2,412,7/7/2024,7/7/2024,
171,4,1,3,413,7/7/2024,7/7/2024,
172,4,1,4,414,7/7/2024,7/7/2024,
173,4,1,5,415,7/7/2024,7/7/2024,
174,4,1,6,416,7/7/2024,7/7/2024,
175,4,2,1,421,7/7/2024,7/7/2024,
176,4,2,2,422,7/7/2024,7/7/2024,
177,4,2,3,423,7/7/2024,7/7/2024,
178,4,2,4,424,7/7/2024,7/7/2024,
179,4,2,5,425,7/7/2024,7/7/2024,
180,4,2,6,426,7/7/2024,7/7/2024,
181,4,3,1,431,7/7/2024,7/7/2024,
182,4,3,2,432,7/7/2024,7/7/2024,
183,4,3,3,433,7/7/2024,7/7/2024,
184,4,3,4,434,7/7/2024,7/7/2024,
185,4,3,5,435,7/7/2024,7/7/2024,
186,4,3,6,436,7/7/2024,7/7/2024,
187,4,4,1,441,7/7/2024,7/7/2024,
188,4,4,2,442,7/7/2024,7/7/2024,
189,4,4,3,443,7/7/2024,7/7/2024,
190,4,4,4,444,7/7/2024,7/7/2024,
191,4,4,5,445,7/7/2024,7/7/2024,
192,4,4,6,446,7/7/2024,7/7/2024,
193,4,5,1,451,7/7/2024,7/7/2024,
194,4,5,2,452,7/7/2024,7/7/2024,
195,4,5,3,453,7/7/2024,7/7/2024,
196,4,5,4,454,7/7/2024,7/7/2024,
197,4,5,5,455,7/7/2024,7/7/2024,
198,4,5,6,456,7/7/2024,7/7/2024,
199,19,1,1,1911,7/7/2024,7/7/2024,
200,19,1,2,1912,7/7/2024,7/7/2024,
201,19,1,3,1913,7/7/2024,7/7/2024,
202,19,1,4,1914,7/7/2024,7/7/2024,
203,19,1,5,1915,7/7/2024,7/7/2024,
204,19,1,6,1916,7/7/2024,7/7/2024,
205,19,2,1,1921,7/7/2024,7/7/2024,
206,19,2,2,1922,7/7/2024,7/7/2024,
207,19,2,3,1923,7/7/2024,7/7/2024,
208,19,2,4,1924,7/7/2024,7/7/2024,
209,19,2,5,1925,7/7/2024,7/7/2024,
210,19,2,6,1926,7/7/2024,7/7/2024,
211,19,3,1,1931,7/7/2024,7/7/2024,
212,19,3,2,1932,7/7/2024,7/7/2024,
213,19,3,3,1933,7/7/2024,7/7/2024,
214,19,3,4,1934,7/7/2024,7/7/2024,
215,19,3,5,1935,7/7/2024,7/7/2024,
216,19,3,6,1936,7/7/2024,7/7/2024,
217,19,4,1,1941,7/7/2024,7/7/2024,
218,19,4,2,1942,7/7/2024,7/7/2024,
219,19,4,3,1943,7/7/2024,7/7/2024,
220,19,4,4,1944,7/7/2024,7/7/2024,
221,19,4,5,1945,7/7/2024,7/7/2024,
222,19,4,6,1946,7/7/2024,7/7/2024,
223,19,5,1,1951,7/7/2024,7/7/2024,
224,19,5,2,1952,7/7/2024,7/7/2024,
225,19,5,3,1953,7/7/2024,7/7/2024,
226,19,5,4,1954,7/7/2024,7/7/2024,
227,19,5,5,1955,7/7/2024,7/7/2024,
228,19,5,6,1956,7/7/2024,7/7/2024,
229,14,1,1,1411,7/7/2024,7/7/2024,
230,14,1,2,1412,7/7/2024,7/7/2024,
231,14,1,3,1413,7/7/2024,7/7/2024,
232,14,1,4,1414,7/7/2024,7/7/2024,
233,14,1,5,1415,7/7/2024,7/7/2024,
234,14,1,6,1416,7/7/2024,7/7/2024,
235,14,2,1,1421,7/7/2024,7/7/2024,
236,14,2,2,1422,7/7/2024,7/7/2024,
237,14,2,3,1423,7/7/2024,7/7/2024,
238,14,2,4,1424,7/7/2024,7/7/2024,
239,14,2,5,1425,7/7/2024,7/7/2024,
240,14,2,6,1426,7/7/2024,7/7/2024,
241,14,3,1,1431,7/7/2024,7/7/2024,
242,14,3,2,1432,7/7/2024,7/7/2024,
243,14,3,3,1433,7/7/2024,7/7/2024,
244,14,3,4,1434,7/7/2024,7/7/2024,
245,14,3,5,1435,7/7/2024,7/7/2024,
246,14,3,6,1436,7/7/2024,7/7/2024,
247,14,4,1,1441,7/7/2024,7/7/2024,
248,14,4,2,1442,7/7/2024,7/7/2024,
249,14,4,3,1443,7/7/2024,7/7/2024,
250,14,4,4,1444,7/7/2024,7/7/2024,
251,14,4,5,1445,7/7/2024,7/7/2024,
252,14,4,6,1446,7/7/2024,7/7/2024,
253,14,5,1,1451,7/7/2024,7/7/2024,
254,14,5,2,1452,7/7/2024,7/7/2024,
255,14,5,3,1453,7/7/2024,7/7/2024,
256,14,5,4,1454,7/7/2024,7/7/2024,
257,14,5,5,1455,7/7/2024,7/7/2024,
258,14,5,6,1456,7/7/2024,7/7/2024,
259,14,1,1,1411,7/7/2024,7/7/2024,
260,14,1,2,1412,7/7/2024,7/7/2024,
261,15,1,3,1513,7/7/2024,7/7/2024,
262,15,1,4,1514,7/7/2024,7/7/2024,
263,15,1,5,1515,7/7/2024,7/7/2024,
264,15,1,6,1516,7/7/2024,7/7/2024,
265,15,2,1,1521,7/7/2024,7/7/2024,
266,15,2,2,1522,7/7/2024,7/7/2024,
267,15,2,3,1523,7/7/2024,7/7/2024,
268,15,2,4,1524,7/7/2024,7/7/2024,
269,15,2,5,1525,7/7/2024,7/7/2024,
270,15,2,6,1526,7/7/2024,7/7/2024,
271,15,3,1,1531,7/7/2024,7/7/2024,
272,15,3,2,1532,7/7/2024,7/7/2024,
273,15,3,3,1533,7/7/2024,7/7/2024,
274,15,3,4,1534,7/7/2024,7/7/2024,
275,15,3,5,1535,7/7/2024,7/7/2024,
276,15,3,6,1536,7/7/2024,7/7/2024,
277,15,4,1,1541,7/7/2024,7/7/2024,
278,15,4,2,1542,7/7/2024,7/7/2024,
279,15,4,3,1543,7/7/2024,7/7/2024,
280,15,4,4,1544,7/7/2024,7/7/2024,
