tank,pH,temp,whelks_not_eating
1,7.6,22,3
2,7.4,18,2
3,7.8,22,2
4,7.3,18,2
5,7.7,18,2
6,7.9,18,1
7,7.5,18,2
8,7.6,18,1
9,7.2,18,2
10,7.8,18,3
11,7.5,22,5
12,7.4,22,1
13,8,18,0
14,7.2,22,2
15,7.7,22,3
17,7.9,22,2
18,7.3,22,1
19,8,22,0
